"","myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50","distribution","model","Diam_distribution"
"5573","myframe_S","E5",30,0.5792,0.8928,0.9861,0.9983,0.9999,1,1,1,"Truncated Triangles","Model 4","Arb"
"5574","myframe_S","E5",45,0.6826,0.9559,0.9969,0.9999,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5575","myframe_S","E5",80,0.8261,0.9926,0.9998,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5576","myframe_S","E5",130,0.9191,0.9991,1,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5577","myframe_S","E5",215,0.9714,1,1,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5578","myframe_S","E5",360,0.9959,1,1,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5579","myframe_S","E5",600,0.9996,1,1,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5580","myframe_S","E5",1000,1,1,1,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5581","myframe_S","E6",10,0.4776,0.7998,0.9483,0.9899,0.9985,1,1,1,"Truncated Triangles","Model 4","Arb"
"5582","myframe_S","E6",15,0.5794,0.8947,0.9843,0.9987,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5583","myframe_S","E6",30,0.7477,0.9794,0.9994,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5584","myframe_S","E6",45,0.8422,0.9957,0.9999,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5585","myframe_S","E6",80,0.937,0.9995,1,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5586","myframe_S","E6",130,0.9799,1,1,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5587","myframe_S","E6",215,0.9974,1,1,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5588","myframe_S","E6",360,1,1,1,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5589","myframe_S","E6",600,1,1,1,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5590","myframe_S","E6",1000,1,1,1,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5591","myframe_S","E7",10,0.3792,0.6838,0.8593,0.9481,0.9828,0.9948,0.9995,0.9999,"Truncated Triangles","Model 4","Arb"
"5592","myframe_S","E7",15,0.48,0.808,0.9449,0.9891,0.9983,0.9998,1,1,"Truncated Triangles","Model 4","Arb"
"5593","myframe_S","E7",30,0.6051,0.9063,0.9876,0.9988,0.9998,1,1,1,"Truncated Triangles","Model 4","Arb"
"5594","myframe_S","E7",45,0.7237,0.9656,0.9993,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5595","myframe_S","E7",80,0.8418,0.9952,0.9999,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5596","myframe_S","E7",130,0.9306,0.9998,1,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5597","myframe_S","E7",215,0.9813,0.9999,1,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5598","myframe_S","E7",360,0.9976,1,1,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5599","myframe_S","E7",600,0.9998,1,1,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5600","myframe_S","E7",1000,1,1,1,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5601","myframe_S","E8",10,0.2773,0.5199,0.7084,0.8491,0.9267,0.9647,0.9943,0.9992,"Truncated Triangles","Model 4","Arb"
"5602","myframe_S","E8",15,0.3533,0.6399,0.8279,0.9296,0.9764,0.992,0.9995,1,"Truncated Triangles","Model 4","Arb"
"5603","myframe_S","E8",30,0.4455,0.7652,0.9215,0.9793,0.996,0.9996,0.9999,1,"Truncated Triangles","Model 4","Arb"
"5604","myframe_S","E8",45,0.5551,0.8738,0.9774,0.9974,0.9998,1,1,1,"Truncated Triangles","Model 4","Arb"
"5605","myframe_S","E8",80,0.6781,0.952,0.9974,0.9998,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5606","myframe_S","E8",130,0.7952,0.9887,0.9997,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
